carat,cut,color,clarity,depth,table,price,x,y,z
0.23,Ideal,E,SI2,61.5,55.0,326,3.95,3.98,2.43
0.21,Premium,E,SI1,59.8,61.0,326,3.89,3.84,2.31
0.23,Good,E,VS1,56.9,65.0,327,4.05,4.07,2.31
0.29,Premium,I,VS2,62.4,58.0,334,4.20,4.23,2.63
0.31,Good,J,SI2,63.3,58.0,335,4.34,4.35,2.75
0.24,Very Good,J,VVS2,62.8,57.0,336,3.94,3.96,2.48
0.24,Very Good,I,VVS1,62.3,57.0,336,3.95,3.98,2.47
0.26,Very Good,H,SI1,61.9,55.0,337,4.07,4.11,2.53
0.22,Fair,E,VS2,65.1,61.0,337,3.87,3.78,2.49
0.23,Very Good,H,VS1,59.4,61.0,338,4.00,4.05,2.39
0.30,Good,J,SI1,64.0,55.0,339,4.25,4.28,2.73
0.23,Ideal,J,VS1,62.8,56.0,340,3.93,3.90,2.46
0.22,Premium,F,SI1,60.4,61.0,342,3.88,3.84,2.33
0.31,Ideal,J,SI2,62.2,54.0,344,4.35,4.37,2.71
0.20,Premium,E,SI2,60.2,62.0,345,3.79,3.75,2.27
0.32,Premium,E,I1,60.9,58.0,345,4.38,4.42,2.68
0.30,Ideal,I,SI2,62.0,54.0,348,4.31,4.34,2.68
0.30,Good,H,SI1,63.4,54.0,351,4.23,4.29,2.70
0.30,Good,H,SI1,63.8,56.0,351,4.23,4.26,2.71
0.30,Very Good,H,VS2,62.7,53.0,351,4.23,4.26,2.66
0.30,Good,H,VVS2,63.3,56.0,351,4.26,4.30,2.71
0.30,Good,H,SI1,63.8,56.0,353,4.20,4.23,2.69
0.31,Good,H,SI1,64.0,54.0,353,4.29,4.32,2.75
0.23,Very Good,E,VS2,63.8,55.0,353,3.85,3.92,2.48
0.23,Very Good,F,VS1,58.7,59.0,353,4.08,4.12,2.41
0.23,Very Good,F,VS1,58.7,59.0,353,4.08,4.12,2.41
0.31,Good,H,SI2,63.1,56.0,354,4.29,4.32,2.72
0.31,Good,H,SI1,63.1,56.0,355,4.28,4.32,2.71
0.31,Good,H,SI1,63.1,56.0,355,4.28,4.32,2.71
0.30,Good,H,SI1,63.2,56.0,357,4.26,4.29,2.70